1.52,0.168,0.081,0.057,0.045,0.039,0.036,0.034,0.033,0.034,0.036,0.039,0.045,0.057,0.081,0.165
1.356,0.121,0.06,0.042,0.034,0.029,0.027,0.025,0.025,0.025,0.027,0.03,0.034,0.043,0.062,0.13
1.106,0.145,0.074,0.054,0.044,0.039,0.037,0.036,0.036,0.037,0.04,0.045,0.054,0.068,0.1,0.205
1.39,0.16,0.079,0.055,0.044,0.039,0.036,0.034,0.034,0.035,0.038,0.042,0.05,0.064,0.093,0.187
2.658,0.25,0.132,0.084,0.067,0.053,0.046,0.042,0.039,0.038,0.038,0.04,0.044,0.05,0.076,0.134
3.173,0.269,0.132,0.091,0.07,0.058,0.05,0.045,0.042,0.04,0.04,0.041,0.045,0.051,0.071,0.134
3.852,0.343,0.168,0.114,0.088,0.072,0.062,0.056,0.052,0.049,0.048,0.049,0.052,0.059,0.078,0.141
3.172,0.272,0.134,0.091,0.069,0.057,0.049,0.043,0.04,0.037,0.036,0.035,0.037,0.041,0.05,0.09
2.413,0.228,0.112,0.076,0.059,0.049,0.042,0.038,0.036,0.035,0.035,0.036,0.039,0.045,0.062,0.117
1.879,0.179,0.089,0.06,0.047,0.039,0.034,0.031,0.029,0.028,0.028,0.029,0.031,0.037,0.05,0.098
2.701,0.218,0.108,0.073,0.056,0.047,0.041,0.037,0.034,0.033,0.033,0.034,0.037,0.043,0.058,0.116
3.498,0.337,0.169,0.114,0.088,0.073,0.063,0.057,0.053,0.051,0.05,0.051,0.055,0.064,0.085,0.159
3.762,0.303,0.151,0.103,0.08,0.067,0.059,0.054,0.051,0.049,0.05,0.052,0.058,0.068,0.093,0.176
2.967,0.282,0.144,0.099,0.078,0.066,0.059,0.055,0.053,0.053,0.055,0.06,0.068,0.084,0.118,0.231
2.315,0.211,0.105,0.072,0.056,0.048,0.043,0.04,0.038,0.038,0.039,0.042,0.047,0.057,0.079,0.156
2.059,0.178,0.09,0.062,0.049,0.042,0.038,0.036,0.035,0.035,0.037,0.04,0.046,0.058,0.083,0.17
2.506,0.218,0.109,0.075,0.059,0.05,0.044,0.041,0.039,0.039,0.04,0.042,0.048,0.058,0.082,0.165
1.495,0.16,0.08,0.056,0.045,0.039,0.036,0.034,0.034,0.035,0.037,0.041,0.048,0.061,0.089,0.177
1.657,0.158,0.08,0.058,0.047,0.042,0.039,0.038,0.038,0.04,0.043,0.047,0.056,0.071,0.102,0.203
1.248,0.156,0.079,0.056,0.046,0.04,0.038,0.036,0.037,0.038,0.041,0.045,0.053,0.068,0.098,0.204
1.288,0.123,0.061,0.043,0.034,0.029,0.027,0.025,0.025,0.025,0.026,0.028,0.033,0.041,0.058,0.118
1.219,0.109,0.054,0.038,0.03,0.027,0.025,0.024,0.024,0.025,0.026,0.03,0.035,0.045,0.066,0.139
1.641,0.164,0.079,0.054,0.042,0.036,0.032,0.03,0.029,0.029,0.031,0.034,0.039,0.048,0.068,0.139
1.526,0.167,0.084,0.06,0.049,0.043,0.041,0.04,0.04,0.042,0.046,0.052,0.062,0.08,0.117,0.239
2.113,0.21,0.106,0.074,0.059,0.051,0.046,0.043,0.043,0.043,0.046,0.05,0.058,0.073,0.105,0.213
2.527,0.235,0.117,0.08,0.063,0.054,0.048,0.044,0.043,0.042,0.043,0.046,0.052,0.063,0.088,0.175
2.378,0.198,0.101,0.071,0.057,0.05,0.045,0.043,0.043,0.044,0.047,0.052,0.06,0.077,0.11,0.224
2.35,0.231,0.116,0.081,0.064,0.055,0.05,0.047,0.046,0.047,0.05,0.054,0.063,0.078,0.111,0.221
2.126,0.191,0.097,0.07,0.058,0.052,0.049,0.048,0.048,0.05,0.054,0.061,0.072,0.092,0.133,0.269
2.018,0.193,0.098,0.071,0.059,0.053,0.05,0.049,0.049,0.052,0.056,0.063,0.075,0.096,0.14,0.288

0.503,0.111,0.065,0.028,0.019,0.016,0.013,0.011,0.01,0.009,0.009,0.009,0.008,0.009,0.012,0.018
0.691,0.125,0.054,0.028,0.02,0.016,0.013,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.012,0.018
0.98,0.146,0.06,0.032,0.024,0.019,0.016,0.014,0.013,0.012,0.011,0.011,0.01,0.01,0.013,0.017
0.996,0.151,0.06,0.033,0.025,0.019,0.016,0.014,0.013,0.012,0.011,0.01,0.011,0.01,0.012,0.018
0.536,0.109,0.056,0.029,0.021,0.016,0.014,0.012,0.011,0.01,0.009,0.009,0.009,0.009,0.012,0.014
0.505,0.113,0.042,0.025,0.017,0.015,0.012,0.011,0.01,0.009,0.008,0.008,0.008,0.007,0.009,0.017
0.425,0.113,0.041,0.023,0.017,0.013,0.011,0.01,0.009,0.008,0.008,0.007,0.008,0.008,0.009,0.015
0.478,0.106,0.064,0.043,0.033,0.02,0.017,0.014,0.013,0.012,0.011,0.011,0.014,0.013,0.014,0.016
2.074,0.188,0.098,0.061,0.044,0.035,0.03,0.026,0.023,0.021,0.02,0.019,0.018,0.018,0.021,0.023
1.546,0.17,0.084,0.049,0.037,0.03,0.026,0.022,0.02,0.018,0.017,0.016,0.016,0.015,0.017,0.02
1.188,0.152,0.065,0.042,0.031,0.025,0.021,0.019,0.017,0.015,0.014,0.013,0.013,0.013,0.014,0.019
1.135,0.122,0.055,0.034,0.024,0.02,0.017,0.015,0.013,0.012,0.011,0.011,0.011,0.011,0.012,0.017
1.118,0.128,0.059,0.039,0.029,0.023,0.02,0.017,0.015,0.014,0.013,0.013,0.013,0.013,0.014,0.016
1.274,0.146,0.07,0.043,0.033,0.027,0.022,0.02,0.018,0.016,0.015,0.014,0.014,0.014,0.015,0.018
1.487,0.139,0.072,0.044,0.033,0.027,0.023,0.02,0.018,0.016,0.016,0.015,0.014,0.014,0.015,0.017
1.455,0.143,0.07,0.043,0.033,0.027,0.023,0.02,0.018,0.016,0.015,0.014,0.014,0.014,0.015,0.018
1.192,0.134,0.063,0.039,0.029,0.023,0.02,0.017,0.016,0.014,0.013,0.013,0.013,0.013,0.014,0.017
0.942,0.118,0.052,0.034,0.025,0.02,0.017,0.015,0.013,0.012,0.011,0.011,0.011,0.011,0.011,0.018
1.095,0.122,0.062,0.038,0.029,0.023,0.02,0.017,0.015,0.014,0.013,0.013,0.012,0.012,0.013,0.016
1.389,0.149,0.072,0.046,0.035,0.028,0.024,0.021,0.019,0.017,0.016,0.015,0.015,0.014,0.015,0.018
1.451,0.144,0.074,0.049,0.034,0.028,0.024,0.021,0.018,0.017,0.016,0.015,0.014,0.015,0.016,0.017
1.477,0.192,0.091,0.055,0.041,0.033,0.027,0.024,0.021,0.019,0.018,0.017,0.017,0.017,0.018,0.024
1.432,0.18,0.09,0.054,0.042,0.033,0.028,0.024,0.022,0.02,0.019,0.017,0.018,0.017,0.018,0.022
1.418,0.173,0.083,0.051,0.037,0.03,0.025,0.022,0.02,0.018,0.017,0.016,0.016,0.016,0.017,0.021
1.371,0.175,0.073,0.049,0.036,0.029,0.024,0.021,0.019,0.018,0.016,0.015,0.015,0.015,0.015,0.021
1.38,0.15,0.07,0.045,0.034,0.027,0.023,0.02,0.018,0.017,0.016,0.015,0.015,0.014,0.015,0.018
1.423,0.163,0.074,0.048,0.036,0.029,0.025,0.022,0.02,0.018,0.017,0.016,0.015,0.015,0.016,0.019
1.413,0.158,0.073,0.046,0.034,0.028,0.024,0.021,0.018,0.017,0.016,0.015,0.015,0.015,0.016,0.019
1.454,0.156,0.077,0.049,0.037,0.03,0.025,0.022,0.02,0.018,0.017,0.016,0.016,0.016,0.016,0.019
1.365,0.155,0.073,0.046,0.034,0.028,0.024,0.021,0.019,0.017,0.016,0.015,0.015,0.014,0.016,0.019

0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.001,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.003,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.004,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.007,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.011,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.01,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.012,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.02,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.022,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
0.03,0.002,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.001,0.001
0.039,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.001
0.042,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.001,0.001
0.038,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.001,0.001
0.049,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.078,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.056,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.065,0.004,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002
0.082,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002
0.105,0.008,0.004,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002
0.1,0.006,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003
0.175,0.008,0.004,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.008
0.154,0.011,0.005,0.004,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.005
0.232,0.01,0.005,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.003
0.109,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003
0.196,0.009,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002
0.193,0.008,0.004,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.004
